title,categories/keyword,author_tags,title_tfidf
clinical functional study two novel variant lpl gene subject severe hypertriglyceridemiaarticle,clinica chimica acta,insertion lpl lpl activity lpl mass mutation novel cholesterol hemoglobin ac lipoprotein lipase triacylglycerol lipoprotein lipase acute pancreatitis adult article bioinformatics cell lysate cholesterol blood level clinical examination clinical feature cohort analysis comparative study controlled study disease severity enzyme activity enzyme release female gene expression genetic analysis genetic transfection genetic variability human hypertriglyceridemia vitro study lpl gene male medical history middle aged mutagenesis priority journal triacylglycerol blood level wild type young adult case report cell culture enzymology genetic variation genetics hypertriglyceridemia metabolism severity illness index adult cell cultured female genetic variation human hypertriglyceridemia lipoprotein lipase male middle aged severity illness index young adult,[0. 0. 0. ... 0. 0. 0.]
search electroweak production charginos neutralinos multilepton final state protonproton collision tevarticleopen access,journal high energy physic,hadronhadron scattering experiment supersymmetry,[0. 0. 0. ... 0. 0. 0.]
jet property pbpb pp collision snn tevarticleopen access,journal high energy physic,heavy ion experiment heavyion collision jet physic quark gluon plasma,[0. 0. 0. ... 0. 0. 0.]
integration human thermal comfort outdoor campus landscape tropical climatearticleopen access,international journal geomate,climatic effect green campus microclimate outdoor environment thermal comfort,[0. 0. 0. ... 0. 0. 0.]
lowcost disposable sensor simultaneous determination coenzyme q lipoic acid using manganese iv oxidemodified screenprinted graphene electrodesarticle,analytica chimica acta,coenzyme q graphene lipoic acid manganese iv oxide screenprinted graphene electrode simultaneous determination chemical detection coenzyme cyclic voltammetry dietary supplement graphene graphite electrode manganese oxide coenzyme q electroactive surface area lipoic acid modified electrode surface quantitative determination screenprinted graphene electrode simultaneous determination square wave anodic stripping voltammetry electrochemical electrode graphene manganese oxide thioctic acid ubidecarenone graphite manganese derivative manganese oxide oxide thioctic acid ubidecarenone ubiquinone accuracy anodic stripping potentiometry article concentration parameter cost cyclic potentiometry dietary supplement electric capacitance electrochemistry enzyme assay limit detection priority journal quantitative analysis screen printed graphene electrode square wave anodic stripping potentiometry analog derivative chemical structure chemistry electrochemical analysis electrode printing electrochemical technique electrode graphite manganese compound molecular structure oxide printing thioctic acid ubiquinone,[0. 0. 0. ... 0. 0. 0.]
optimization succinic acid production actinobacillus sp npaa using plackettburman design coupled boxbehnken designarticle,chiang mai journal science,actinobacillus sp npaa boxbehnken design bbd carbon dioxide co plackettburman design pbd succinic acid,[0. 0. 0. ... 0. 0. 0.]
cancer stem cellsuppressing activity chrysotoxine bibenzyl dendrobium pulchellumarticleopen access,journal pharmacology experimental therapeutic,aldehyde dehydrogenase aldehyde dehydrogenase isoenzyme antineoplastic agent bibenzyl derivative breast cancer resistance protein cd antigen chrysotoxine dasatinib hermes antigen protein kinase b protein tyrosine kinase short hairpin rna transcription factor sox unclassified drug bibenzyl derivative chrysotoxine akt signaling article cancer stem cell controlled study dendrobium dendrobium pulchellums drug cytotoxicity drug structure flow cytometry human human cell ncih cell line ncih cell line priority journal western blotting cancer stem cell chemistry drug effect lung tumor non small cell lung cancer pathology phenotype tumor cell line bibenzyls carcinoma nonsmallcell lung cell line tumor dendrobium human lung neoplasm neoplastic stem cell phenotype,[0. 0. 0. ... 0. 0. 0.]
security study thailandbook chapter,international relation discipline thailand theory subfields,,[0. 0. 0. ... 0. 0. 0.]
cellular response periodontal ligament stem cell novel synthesized form calcium hydrogen phosphate hydroxyapatitelike surface periodontal tissue engineeringarticleopen access,journal oral science,nanohydroxyapatite osteogenic differentiation periodontal ligament stem cell periodontal regeneration periodontal tissue engineering calcium phosphate calcium phosphate dibasic anhydrous hydroxyapatite bone development cell adhesion cell culture cell differentiation cell proliferation cytology drug effect human material testing metabolism periodontal ligament procedure raman spectrometry real time polymerase chain reaction scanning electron microscopy stem cell surface property tissue engineering calcium phosphate cell adhesion cell differentiation cell proliferation cell cultured durapatite human material testing microscopy electron scanning osteogenesis periodontal ligament realtime polymerase chain reaction spectrum analysis raman stem cell surface property tissue engineering,[0. 0. 0. ... 0. 0. 0.]
search physic beyond standard model highmass diphoton event protonproton collision tevarticleopen access,physical review,,[0. 0. 0. ... 0. 0. 0.]
stalagmite western thailand preliminary investigation challenge palaeoenvironmental researcharticleopen access,boreas,cave paleoclimate paleoenvironment petrography reconstruction speleothem stalagmite northern region thailand thailand uthai thani,[0. 0. 0. ... 0. 0. 0.]
search charged higgs boson decaying charm bottom quark protonproton collision tevarticleopen access,journal high energy physic,hadronhadron scattering experiment higgs physic,[0. 0. 0. ... 0. 0. 0.]
protective effect cellfree supernatant live lactic acid bacteria isolated thai pig pandemic strain porcine epidemic diarrhea virusarticleopen access,probiotic antimicrobial protein,antiviral activity cellfree supernatant lactic acid bacteria porcine epidemic diarrhea virus probiotic lactic acid neutral red probiotic agent animal cell antiviral activity article bacterial cell bacterium adherence bacterium isolation controlled study cytotoxicity cytotoxicity assay enterococcus faecium fluorescence microscopy immunofluorescence test lactobacillus plantarum nonhuman pandemic pediococcus acidilactici pediococcus pentosaceus porcine epidemic diarrhea virus priority journal supernatant virus infectivity animal chlorocebus aethiops classification coronavirus infection hamster lactobacillales physiology pig porcine epidemic diarrhea virus swine disease thailand vero cell line veterinary medicine virology animal cercopithecus aethiops coronavirus infection cricetinae lactobacillales pandemic porcine epidemic diarrhea virus probiotic swine swine disease thailand vero cell,[0. 0. 0. ... 0. 0. 0.]
